,Title,Type,BodyPart,Equipment,Level,RatingDesc,Calories
44,Incline dumbbell biceps curl,Strength,Biceps,Bands,Intermediate,,
45,Wide-grip barbell curl,Strength,Biceps,Barbell,Beginner,Average,
46,Barbell Curl,Strength,Biceps,Barbell,Intermediate,Average,
47,Barbell Curls Lying Against An Incline,Strength,Biceps,Barbell,Beginner,Average,
48,Seated Close-Grip Concentration Barbell Curl,Strength,Biceps,Barbell,Beginner,Average,
49,Close-grip barbell curl,Strength,Biceps,Barbell,Beginner,Average,
50,Reverse-grip barbell curl,Strength,Biceps,Barbell,Intermediate,Average,
51,Lying High Bench Barbell Curl,Strength,Biceps,Barbell,Beginner,Average,
52,Barbell curl-,Strength,Biceps,Barbell,Intermediate,,
53,Paul Carter Barbell Curl,Strength,Biceps,Barbell,Intermediate,,
54,Seated Barbell Curl,Strength,Biceps,Barbell,Intermediate,,
55,AM Standing Barbell Curl,Strength,Biceps,Barbell,Intermediate,,
56,30 Arms Standing Barbell Curl,Strength,Biceps,Barbell,Intermediate,,
57,Flexor Incline Dumbbell Curls,Strength,Biceps,Dumbbell,Beginner,Average,
58,Dumbbell Bicep Curl,Strength,Biceps,Dumbbell,Intermediate,Average,
59,Dumbbell Alternate Bicep Curl,Strength,Biceps,Dumbbell,Intermediate,Average,
60,Single-arm dumbbell preacher curl,Strength,Biceps,Dumbbell,Intermediate,Average,
61,Alternate Incline Dumbbell Curl,Strength,Biceps,Dumbbell,Intermediate,Average,
62,Alternating incline dumbbell biceps curl,Strength,Biceps,Dumbbell,Intermediate,Average,
63,Seated dumbbell biceps curl,Strength,Biceps,Dumbbell,Intermediate,Average,
64,Preacher Hammer Dumbbell Curl,Strength,Biceps,Dumbbell,Beginner,Average,
65,Dumbbell preacher curl,Strength,Biceps,Dumbbell,Intermediate,Average,
66,Lying Supine Dumbbell Curl,Strength,Biceps,Dumbbell,Beginner,Average,
67,Standing Dumbbell Reverse Curl,Strength,Biceps,Dumbbell,Beginner,Average,
68,Face-down incline dumbbell biceps curl,Strength,Biceps,Dumbbell,Beginner,Average,
69,Seated Dumbbell Inner Biceps Curl,Strength,Biceps,Dumbbell,Beginner,Average,
70,Paul Carter Incline Dumbbell Biceps Curl,Strength,Biceps,Dumbbell,Intermediate,,
71,FYR Dumbbell Curl,Strength,Biceps,Dumbbell,Intermediate,,
72,Dumbbell biceps curl to upright row,Strength,Biceps,Dumbbell,Intermediate,,
73,FYR Dumbbell Hammer Curl,Strength,Biceps,Dumbbell,Intermediate,,
74,Dumbbell overhead hold with single-arm curl,Strength,Biceps,Dumbbell,Intermediate,,
75,Lunge hold dumbbell curl,Strength,Biceps,Dumbbell,Intermediate,,
76,FYR Dumbbell Biceps Curl,Strength,Biceps,Dumbbell,Intermediate,,
77,Alternating dumbbell snatch,Strength,Biceps,Dumbbell,Intermediate,,
78,TBS Incline Dumbbell Curl,Strength,Biceps,Dumbbell,Intermediate,,
79,Reverse-grip dumbbell curl,Strength,Biceps,Dumbbell,Intermediate,,
80,Incline Dumbbell Curl - Gethin Variation,Strength,Biceps,Dumbbell,Intermediate,,
