,Title,Type,BodyPart,Equipment,Level,RatingDesc,Calories
0,Incline dumbbell biceps curl,Strength,Biceps,Bands,Intermediate,,
1,Wide-grip barbell curl,Strength,Biceps,Barbell,Beginner,Average,
2,Barbell Curl,Strength,Biceps,Barbell,Intermediate,Average,
3,Barbell Curls Lying Against An Incline,Strength,Biceps,Barbell,Beginner,Average,
4,Seated Close-Grip Concentration Barbell Curl,Strength,Biceps,Barbell,Beginner,Average,
5,Close-grip barbell curl,Strength,Biceps,Barbell,Beginner,Average,
6,Reverse-grip barbell curl,Strength,Biceps,Barbell,Intermediate,Average,
7,Lying High Bench Barbell Curl,Strength,Biceps,Barbell,Beginner,Average,
8,Barbell curl-,Strength,Biceps,Barbell,Intermediate,,
9,Paul Carter Barbell Curl,Strength,Biceps,Barbell,Intermediate,,
10,Seated Barbell Curl,Strength,Biceps,Barbell,Intermediate,,
11,AM Standing Barbell Curl,Strength,Biceps,Barbell,Intermediate,,
12,30 Arms Standing Barbell Curl,Strength,Biceps,Barbell,Intermediate,,
13,Flexor Incline Dumbbell Curls,Strength,Biceps,Dumbbell,Beginner,Average,
14,Dumbbell Bicep Curl,Strength,Biceps,Dumbbell,Intermediate,Average,
15,Dumbbell Alternate Bicep Curl,Strength,Biceps,Dumbbell,Intermediate,Average,
16,Single-arm dumbbell preacher curl,Strength,Biceps,Dumbbell,Intermediate,Average,
17,Alternate Incline Dumbbell Curl,Strength,Biceps,Dumbbell,Intermediate,Average,
18,Alternating incline dumbbell biceps curl,Strength,Biceps,Dumbbell,Intermediate,Average,
19,Seated dumbbell biceps curl,Strength,Biceps,Dumbbell,Intermediate,Average,
20,Preacher Hammer Dumbbell Curl,Strength,Biceps,Dumbbell,Beginner,Average,
21,Dumbbell preacher curl,Strength,Biceps,Dumbbell,Intermediate,Average,
22,Lying Supine Dumbbell Curl,Strength,Biceps,Dumbbell,Beginner,Average,
23,Standing Dumbbell Reverse Curl,Strength,Biceps,Dumbbell,Beginner,Average,
24,Face-down incline dumbbell biceps curl,Strength,Biceps,Dumbbell,Beginner,Average,
25,Seated Dumbbell Inner Biceps Curl,Strength,Biceps,Dumbbell,Beginner,Average,
26,Paul Carter Incline Dumbbell Biceps Curl,Strength,Biceps,Dumbbell,Intermediate,,
27,FYR Dumbbell Curl,Strength,Biceps,Dumbbell,Intermediate,,
28,Dumbbell biceps curl to upright row,Strength,Biceps,Dumbbell,Intermediate,,
29,FYR Dumbbell Hammer Curl,Strength,Biceps,Dumbbell,Intermediate,,
30,Dumbbell overhead hold with single-arm curl,Strength,Biceps,Dumbbell,Intermediate,,
31,Lunge hold dumbbell curl,Strength,Biceps,Dumbbell,Intermediate,,
32,FYR Dumbbell Biceps Curl,Strength,Biceps,Dumbbell,Intermediate,,
